Company;Country;Platform;Bachelor;Masters;PhD;Communication;English;German;Statistics;ML;DL;AI;Optimization;Analytics;Visualization;Python;R;Matlab;SAS;SQL;Spark;Hadoop;Docker;Keras;Tensorflow;Pytorch;NLP;AWS;Azure
Procter & Gamble;Switzerland;Glassdoor;0;1;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Philip Morris International;Switzerland;Glassdoor;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Swiss Re;Switzerland;Glassdoor;1;0;0;1;1;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
SAP;Switzerland;Glassdoor;0;1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Sigma;Switzerland;Glassdoor;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Swarowski;Switzerland;Glassdoor;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Credit Suisse;Switzerland;Glassdoor;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
MSCI Inc. ;Switzerland;Glassdoor;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
wega Informatik ;Switzerland;Glassdoor;0;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
Roche;Switzerland;Glassdoor;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0
Apple;Switzerland;Glassdoor;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0
Landwell and Associes;Switzerland;Glassdoor;1;0;0;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0
Phonak;Switzerland;Glassdoor;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Richmond;Switzerland;Glassdoor;0;1;0;0;1;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
UBS;Switzerland;Glassdoor;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;1;0;0
Myitjob;Switzerland;Glassdoor;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Cisco systems;Switzerland;Glassdoor;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Alpiq;Switzerland;Glassdoor;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IPT;Switzerland;Glassdoor;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
EY;Switzerland;Glassdoor;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Spiden;Switzerland;Linkedin;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Experis;Switzerland;Linkedin;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Nispera;Switzerland;Linkedin;0;1;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Reifeisen;Switzerland;Linkedin;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
